portfolio,candidate_index,latitude_deg,longitude_deg
Argus uniform 20-site,3,-24.0,148.0
Argus uniform 20-site,16,20.0,-12.0
Argus uniform 20-site,17,-44.0,112.0
Argus uniform 20-site,24,52.0,-128.0
Argus uniform 20-site,28,44.0,-52.0
Argus uniform 20-site,34,40.0,-164.0
Argus uniform 20-site,43,-44.0,152.0
Argus uniform 20-site,48,52.0,-96.0
Argus uniform 20-site,85,56.0,-64.0
Argus uniform 20-site,89,20.0,180.0
Argus uniform 20-site,101,-44.0,132.0
Argus uniform 20-site,105,28.0,-52.0
Argus uniform 20-site,120,-20.0,128.0
Argus uniform 20-site,121,48.0,-112.0
Argus uniform 20-site,125,-28.0,40.0
Argus uniform 20-site,132,52.0,56.0
Argus uniform 20-site,137,44.0,-12.0
Argus uniform 20-site,152,56.0,-80.0
Argus uniform 20-site,186,36.0,-72.0
Argus WorldPop 20-site,9,44.0,20.0
Argus WorldPop 20-site,27,28.0,92.0
Argus WorldPop 20-site,47,36.0,112.0
Argus WorldPop 20-site,51,36.0,-4.0
Argus WorldPop 20-site,54,4.0,0.0
Argus WorldPop 20-site,65,56.0,36.0
Argus WorldPop 20-site,92,8.0,12.0
Argus WorldPop 20-site,114,48.0,4.0
Argus WorldPop 20-site,128,32.0,80.0
Argus WorldPop 20-site,134,32.0,128.0
Argus WorldPop 20-site,156,-4.0,36.0
Argus WorldPop 20-site,172,12.0,-8.0
Argus WorldPop 20-site,175,28.0,108.0
