portfolio,candidate_index,latitude_deg,longitude_deg
Argus uniform baseline,3,-24.0,148.0
Argus uniform baseline,16,20.0,-12.0
Argus uniform baseline,17,-44.0,112.0
Argus uniform baseline,24,52.0,-128.0
Argus uniform baseline,28,44.0,-52.0
Argus uniform baseline,34,40.0,-164.0
Argus uniform baseline,43,-44.0,152.0
Argus uniform baseline,48,52.0,-96.0
Argus uniform baseline,85,56.0,-64.0
Argus uniform baseline,89,20.0,180.0
Argus uniform baseline,101,-44.0,132.0
Argus uniform baseline,105,28.0,-52.0
Argus uniform baseline,120,-20.0,128.0
Argus uniform baseline,121,48.0,-112.0
Argus uniform baseline,125,-28.0,40.0
Argus uniform baseline,132,52.0,56.0
Argus uniform baseline,137,44.0,-12.0
Argus uniform baseline,152,56.0,-80.0
Argus uniform baseline,186,36.0,-72.0
Argus WorldPop baseline,9,44.0,20.0
Argus WorldPop baseline,27,28.0,92.0
Argus WorldPop baseline,47,36.0,112.0
Argus WorldPop baseline,51,36.0,-4.0
Argus WorldPop baseline,54,4.0,0.0
Argus WorldPop baseline,65,56.0,36.0
Argus WorldPop baseline,92,8.0,12.0
Argus WorldPop baseline,114,48.0,4.0
Argus WorldPop baseline,128,32.0,80.0
Argus WorldPop baseline,134,32.0,128.0
Argus WorldPop baseline,156,-4.0,36.0
Argus WorldPop baseline,172,12.0,-8.0
Argus WorldPop baseline,175,28.0,108.0
Argus uniform geopolitical,3,-24.0,148.0
Argus uniform geopolitical,16,20.0,-12.0
Argus uniform geopolitical,17,-44.0,112.0
Argus uniform geopolitical,24,52.0,-128.0
Argus uniform geopolitical,28,44.0,-52.0
Argus uniform geopolitical,34,40.0,-164.0
Argus uniform geopolitical,43,-44.0,152.0
Argus uniform geopolitical,48,52.0,-96.0
Argus uniform geopolitical,63,-24.0,-16.0
Argus uniform geopolitical,78,40.0,-140.0
Argus uniform geopolitical,82,-32.0,16.0
Argus uniform geopolitical,85,56.0,-64.0
Argus uniform geopolitical,101,-44.0,132.0
Argus uniform geopolitical,105,28.0,-52.0
Argus uniform geopolitical,120,-20.0,128.0
Argus uniform geopolitical,121,48.0,-112.0
Argus uniform geopolitical,125,-28.0,40.0
Argus uniform geopolitical,136,-32.0,140.0
Argus uniform geopolitical,137,44.0,-12.0
Argus uniform geopolitical,152,56.0,-80.0
Argus WorldPop geopolitical,9,44.0,20.0
Argus WorldPop geopolitical,23,40.0,136.0
Argus WorldPop geopolitical,38,-24.0,28.0
Argus WorldPop geopolitical,51,36.0,-4.0
Argus WorldPop geopolitical,54,4.0,0.0
Argus WorldPop geopolitical,69,44.0,-76.0
Argus WorldPop geopolitical,91,-12.0,-40.0
Argus WorldPop geopolitical,92,8.0,12.0
Argus WorldPop geopolitical,97,-12.0,32.0
Argus WorldPop geopolitical,112,-24.0,-52.0
Argus WorldPop geopolitical,114,48.0,4.0
Argus WorldPop geopolitical,121,48.0,-112.0
Argus WorldPop geopolitical,133,40.0,-96.0
Argus WorldPop geopolitical,156,-4.0,36.0
Argus WorldPop geopolitical,160,8.0,108.0
Argus WorldPop geopolitical,172,12.0,-8.0
Argus WorldPop geopolitical,177,40.0,32.0
Argus WorldPop geopolitical,180,16.0,124.0
Argus WorldPop geopolitical,181,20.0,-96.0
Argus WorldPop geopolitical,191,40.0,8.0
