site_id,b_i,backhaul_feasible,nearest_backhaul_distance_km,nearest_backhaul_index,nearest_backhaul_id,nearest_backhaul_type
grid-00000,1,True,4513.565053173531,18,sao_paulo,proxy_internet_hub
grid-00001,1,True,2866.793934553387,16,seoul,proxy_internet_hub
grid-00002,1,True,2782.5435307627736,19,johannesburg,proxy_internet_hub
grid-00003,1,True,1140.7339920403251,17,sydney,proxy_internet_hub
grid-00004,1,True,1464.323970364754,2,los_angeles,proxy_internet_hub
grid-00005,1,True,3115.1681732310903,5,miami,proxy_internet_hub
grid-00006,1,True,2799.2722284055208,15,tokyo,proxy_internet_hub
grid-00007,1,True,3036.5909019442233,1,new_york,proxy_internet_hub
grid-00008,1,True,1339.3488984005005,13,mumbai,proxy_internet_hub
grid-00009,1,True,1092.0002957136544,8,frankfurt,proxy_internet_hub
grid-00010,1,True,1790.493864554137,14,singapore,proxy_internet_hub
grid-00011,1,True,1082.924053179309,18,sao_paulo,proxy_internet_hub
grid-00012,1,True,2408.999911957907,19,johannesburg,proxy_internet_hub
grid-00013,1,True,3581.837432453238,18,sao_paulo,proxy_internet_hub
grid-00014,1,True,3861.6716495885967,3,seattle,proxy_internet_hub
grid-00015,1,True,830.27084283555,4,dallas,proxy_internet_hub
grid-00016,1,True,2403.2583359361593,11,madrid,proxy_internet_hub
grid-00017,1,True,3535.609660992742,17,sydney,proxy_internet_hub
grid-00018,1,True,2791.5996713746003,19,johannesburg,proxy_internet_hub
grid-00019,1,True,4619.280980264971,2,los_angeles,proxy_internet_hub
grid-00020,1,True,1703.0301675910507,12,dubai,proxy_internet_hub
grid-00021,1,True,1616.3332981363194,10,stockholm,proxy_internet_hub
grid-00022,1,True,1887.9378012097304,12,dubai,proxy_internet_hub
grid-00023,1,True,577.7193980687849,15,tokyo,proxy_internet_hub
grid-00024,1,True,635.3423510626278,3,seattle,proxy_internet_hub
grid-00025,1,True,2347.9252583900375,14,singapore,proxy_internet_hub
grid-00026,1,True,3109.0884644376474,15,tokyo,proxy_internet_hub
grid-00027,1,True,2183.348080653785,13,mumbai,proxy_internet_hub
grid-00028,1,True,1838.9666950089036,1,new_york,proxy_internet_hub
grid-00029,1,True,4072.700525195541,18,sao_paulo,proxy_internet_hub
grid-00030,1,True,3290.7166110651065,18,sao_paulo,proxy_internet_hub
grid-00031,1,True,2634.210470683166,19,johannesburg,proxy_internet_hub
grid-00032,1,True,1996.6726514353486,18,sao_paulo,proxy_internet_hub
grid-00033,1,True,2024.2451929434758,5,miami,proxy_internet_hub
grid-00034,1,True,3405.1442375654783,3,seattle,proxy_internet_hub
grid-00035,1,True,924.8361036029668,6,london,proxy_internet_hub
grid-00036,1,True,1888.3299109644877,18,sao_paulo,proxy_internet_hub
grid-00037,1,True,2941.590119881059,11,madrid,proxy_internet_hub
grid-00038,1,True,245.13134054504184,19,johannesburg,proxy_internet_hub
grid-00039,1,True,2001.4679547466862,4,dallas,proxy_internet_hub
grid-00040,1,True,2859.332442965982,18,sao_paulo,proxy_internet_hub
grid-00041,1,True,4802.795046832789,15,tokyo,proxy_internet_hub
grid-00042,1,True,4092.406233080795,10,stockholm,proxy_internet_hub
grid-00043,1,True,1128.5976748180647,17,sydney,proxy_internet_hub
grid-00044,1,True,1138.6901720363783,14,singapore,proxy_internet_hub
grid-00045,1,True,2160.8264087778357,15,tokyo,proxy_internet_hub
grid-00046,1,True,2757.761228422579,3,seattle,proxy_internet_hub
grid-00047,1,True,1343.7523652121454,16,seoul,proxy_internet_hub
grid-00048,1,True,1940.1159678021152,3,seattle,proxy_internet_hub
grid-00049,1,True,608.2380379319765,2,los_angeles,proxy_internet_hub
grid-00050,1,True,1233.9432659632762,5,miami,proxy_internet_hub
grid-00051,1,True,491.8068675687901,11,madrid,proxy_internet_hub
grid-00052,1,True,2171.338128527051,17,sydney,proxy_internet_hub
grid-00053,1,True,2738.1279177758147,10,stockholm,proxy_internet_hub
grid-00054,1,True,4066.362502612485,11,madrid,proxy_internet_hub
grid-00055,1,True,1896.7364426135148,15,tokyo,proxy_internet_hub
grid-00056,1,True,2659.494136408224,16,seoul,proxy_internet_hub
grid-00057,1,True,2879.4527579390206,17,sydney,proxy_internet_hub
grid-00058,1,True,554.9927236688621,13,mumbai,proxy_internet_hub
grid-00059,1,True,2733.9824630958783,19,johannesburg,proxy_internet_hub
grid-00060,1,True,2023.5337402803239,12,dubai,proxy_internet_hub
grid-00061,1,True,2903.059679017307,2,los_angeles,proxy_internet_hub
grid-00062,1,True,3333.139906811152,15,tokyo,proxy_internet_hub
grid-00063,1,True,3111.4055566086167,18,sao_paulo,proxy_internet_hub
grid-00064,1,True,3483.071944190274,18,sao_paulo,proxy_internet_hub
grid-00065,1,True,1124.7592716789716,10,stockholm,proxy_internet_hub
grid-00066,1,True,2958.580330751771,13,mumbai,proxy_internet_hub
grid-00067,1,True,1161.1947356369403,15,tokyo,proxy_internet_hub
grid-00068,1,True,583.5639992311338,12,dubai,proxy_internet_hub
grid-00069,1,True,400.52945355696835,1,new_york,proxy_internet_hub
grid-00070,1,True,2220.7045023676046,3,seattle,proxy_internet_hub
grid-00071,1,True,1930.6663181574788,10,stockholm,proxy_internet_hub
grid-00072,1,True,3358.5511853007056,19,johannesburg,proxy_internet_hub
grid-00073,1,True,2383.6328987587913,12,dubai,proxy_internet_hub
grid-00074,1,True,1834.899015606775,18,sao_paulo,proxy_internet_hub
grid-00075,1,True,1354.1978621943397,5,miami,proxy_internet_hub
grid-00076,1,True,1227.5199729272513,13,mumbai,proxy_internet_hub
grid-00077,1,True,2959.3603680490114,2,los_angeles,proxy_internet_hub
grid-00078,1,True,1645.2849248447048,3,seattle,proxy_internet_hub
grid-00079,1,True,3205.5779334378467,15,tokyo,proxy_internet_hub
grid-00080,1,True,2073.6473098358665,14,singapore,proxy_internet_hub
grid-00081,1,True,1291.0700034329498,16,seoul,proxy_internet_hub
grid-00082,1,True,1334.8868969774348,19,johannesburg,proxy_internet_hub
grid-00083,1,True,348.74376862070244,10,stockholm,proxy_internet_hub
grid-00084,1,True,1845.7139478026024,18,sao_paulo,proxy_internet_hub
grid-00085,1,True,1849.2551466833565,1,new_york,proxy_internet_hub
grid-00086,1,True,3425.1729407217335,5,miami,proxy_internet_hub
grid-00087,1,True,4232.796227323745,11,madrid,proxy_internet_hub
grid-00088,1,True,3239.0869944789274,5,miami,proxy_internet_hub
grid-00089,1,True,4295.28298730539,15,tokyo,proxy_internet_hub
grid-00090,1,True,2433.025420216652,17,sydney,proxy_internet_hub
grid-00091,1,True,1463.1037315638184,18,sao_paulo,proxy_internet_hub
grid-00092,1,True,3926.3822742310304,11,madrid,proxy_internet_hub
grid-00093,1,True,3378.7040043851093,14,singapore,proxy_internet_hub
grid-00094,1,True,1687.4189442732304,11,madrid,proxy_internet_hub
grid-00095,1,True,2151.189143646589,19,johannesburg,proxy_internet_hub
grid-00096,1,True,2325.4109162532395,12,dubai,proxy_internet_hub
grid-00097,1,True,1632.7478863981498,19,johannesburg,proxy_internet_hub
grid-00098,1,True,2778.2436542567143,14,singapore,proxy_internet_hub
grid-00099,1,True,3530.1802808650345,10,stockholm,proxy_internet_hub
grid-00100,1,True,4480.59895104137,3,seattle,proxy_internet_hub
grid-00101,1,True,1999.525228744747,17,sydney,proxy_internet_hub
grid-00102,1,True,3688.5850303955326,18,sao_paulo,proxy_internet_hub
grid-00103,1,True,4018.3471951325823,18,sao_paulo,proxy_internet_hub
grid-00104,1,True,4163.049026954745,3,seattle,proxy_internet_hub
grid-00105,1,True,2454.0684539667814,1,new_york,proxy_internet_hub
grid-00106,1,True,2738.4921495262497,11,madrid,proxy_internet_hub
grid-00107,1,True,3645.4633876523,15,tokyo,proxy_internet_hub
grid-00108,1,True,2867.2814450446617,12,dubai,proxy_internet_hub
grid-00109,1,True,2135.5591012033506,3,seattle,proxy_internet_hub
grid-00110,1,True,1647.8981519408017,16,seoul,proxy_internet_hub
grid-00111,1,True,1411.0306851285916,19,johannesburg,proxy_internet_hub
grid-00112,1,True,548.3547261187445,18,sao_paulo,proxy_internet_hub
grid-00113,1,True,1578.1211275133833,2,los_angeles,proxy_internet_hub
grid-00114,1,True,154.44324833564048,9,paris,proxy_internet_hub
grid-00115,1,True,1998.9349413035713,5,miami,proxy_internet_hub
