demand_model,coverage_target,status,achieved_coverage,objective_value,selected_site_count,assignment_count,covered_demand,total_demand,runtime_seconds,selected_sites
Uniform,0.05,Optimal,0.05,3.1086788397344605,3,48,48.0,960.0,0.6066564579959959,"28,48,121"
Uniform,0.1,Optimal,0.1,8.214684726074246,8,96,96.0,960.0,0.5667087499750778,"3,17,24,28,48,105,121,152"
Uniform,0.15000000000000002,Optimal,0.15,13.329730939244923,13,144,144.0,960.0,0.4711472080089152,"3,16,17,24,28,34,48,101,105,120,121,137,152"
Uniform,0.2,Optimal,0.2,19.441601230315932,19,192,192.0,960.0,0.27238766598748043,"3,16,17,24,28,34,43,48,78,85,89,101,105,120,121,125,137,152,186"
Uniform,0.25,Infeasible,0.0,,0,0,0.0,960.0,0.03642479202244431,
Uniform,0.3,Infeasible,0.0,,0,0,0.0,960.0,0.039242500031832606,
Uniform,0.35000000000000003,Infeasible,0.0,,0,0,0.0,960.0,0.03613729204516858,
Uniform,0.4,Infeasible,0.0,,0,0,0.0,960.0,0.03546216699760407,
Uniform,0.45,Infeasible,0.0,,0,0,0.0,960.0,0.03521958302007988,
Uniform,0.5,Infeasible,0.0,,0,0,0.0,960.0,0.0347032499848865,
Uniform,0.55,Infeasible,0.0,,0,0,0.0,960.0,0.05284299998311326,
City proxy,0.05,Optimal,0.05333417403020383,1.0074103279302802,1,4,51.20080706899567,959.9999999999999,0.08370595797896385,114
City proxy,0.1,Optimal,0.10007323361841744,2.019244658798098,2,9,96.07030427368073,959.9999999999999,0.13208608399145305,"9,114"
City proxy,0.15000000000000002,Optimal,0.15002679030823107,4.035513822137229,4,16,144.02571869590182,959.9999999999999,0.48901833296986297,"9,23,69,114"
City proxy,0.2,Optimal,0.20000317471826262,6.059810398431918,6,27,192.00304772953208,959.9999999999999,0.4942182499798946,"9,23,69,114,133,191"
City proxy,0.25,Optimal,0.25014615842395566,9.080830011351393,9,38,240.14031208699743,959.9999999999999,0.4472998330020346,"9,23,49,51,69,112,114,133,177"
City proxy,0.3,Optimal,0.3002439651472795,12.117191870218981,12,55,288.2342065413883,959.9999999999999,0.4027082090033218,"9,23,49,51,69,112,114,133,137,160,177,186"
City proxy,0.35000000000000003,Optimal,0.3506991747686937,15.192346413597479,15,89,336.67120777794594,959.9999999999999,0.5300040420261212,"9,23,48,49,51,69,112,114,133,137,160,177,186,191,198"
City proxy,0.4,Optimal,0.40085585326652196,19.224873882544575,19,102,384.82161913586106,959.9999999999999,0.3758129999623634,"9,11,23,38,49,51,54,69,92,112,114,121,133,137,160,177,186,191,198"
City proxy,0.45,Infeasible,0.0,,0,0,0.0,959.9999999999999,0.03742816601879895,
City proxy,0.5,Infeasible,0.0,,0,0,0.0,959.9999999999999,0.037224458006676286,
City proxy,0.55,Infeasible,0.0,,0,0,0.0,959.9999999999999,0.03571937495144084,
WorldPop raster,0.05,Optimal,0.054936444919068364,1.005389136972982,1,3,52.73898712230563,960.0,0.07887349999509752,114
WorldPop raster,0.1,Optimal,0.10032252597822752,2.0141467081737443,2,7,96.30962493909843,960.0,0.2798767920467071,"114,156"
WorldPop raster,0.15000000000000002,Optimal,0.15305606243287334,3.0328748774588057,3,14,146.9338199355584,960.0,0.11684104200685397,"9,114,156"
WorldPop raster,0.2,Optimal,0.20064724595495342,5.042421531539672,5,19,192.6213561167553,960.0,0.5674557500169612,"9,51,92,114,156"
WorldPop raster,0.25,Optimal,0.25024752445707893,7.059543607927782,7,26,240.23762347879577,960.0,0.4905159999616444,"9,23,51,54,92,114,156"
WorldPop raster,0.3,Optimal,0.3007173245758254,10.079667041986168,10,37,288.6886315927924,960.0,0.6937096249894239,"9,23,38,51,54,92,114,156,172,177"
WorldPop raster,0.35000000000000003,Optimal,0.3500887866227982,13.111236191508032,13,51,336.08523515788625,960.0,0.45320141600677744,"9,23,38,51,54,69,92,114,156,160,172,177,180"
WorldPop raster,0.4,Optimal,0.4001851314199522,17.13654953739316,17,63,384.17772616315415,960.0,0.3695465420023538,"9,23,38,51,54,69,92,97,112,114,156,160,172,177,180,181,191"
WorldPop raster,0.45,Infeasible,0.0,,0,0,0.0,960.0,0.035659416986163706,
WorldPop raster,0.5,Infeasible,0.0,,0,0,0.0,960.0,0.03548308304743841,
WorldPop raster,0.55,Infeasible,0.0,,0,0,0.0,960.0,0.034383833000902086,
