elevation_deg,max_ground_stations,status,achieved_coverage,covered_demand,total_demand,selected_site_count,assignment_count,objective_value,runtime_seconds,visible_arc_count,row_visibility_upper_bound,demand_visibility_upper_bound,selected_sites
0.0,5,Optimal,0.64051361252008,614.8930680192767,959.9999999999999,5,171,614.8930620924565,0.2531661249813624,5777,0.9052083333333333,0.9905660410590856,"9,10,23,112,133"
0.0,10,Optimal,0.8935643724415613,857.8217975438987,959.9999999999999,10,345,857.8217856451874,0.27439583296654746,5777,0.9052083333333333,0.9905660410590856,"10,23,49,51,54,76,96,97,112,186"
0.0,15,Optimal,0.9692261255807523,930.4570805575221,959.9999999999999,15,481,930.4570630648501,0.3645477500394918,5777,0.9052083333333333,0.9905660410590856,"10,23,36,51,54,69,76,86,91,97,144,166,177,181,198"
0.0,20,Optimal,0.9880785015748947,948.5553615118988,959.9999999999999,20,621,948.5553383326384,0.351545832992997,5777,0.9052083333333333,0.9905660410590856,"23,25,36,43,51,69,72,76,86,90,91,111,125,144,172,177,180,181,183,198"
0.0,30,Optimal,0.9905144374766074,950.893859977543,959.9999999999999,30,828,950.8938258064939,3.6418316659983248,5777,0.9052083333333333,0.9905660410590856,"8,12,17,19,23,25,28,29,39,40,43,48,50,64,67,72,76,78,79,82,84,86,90,92,96,114,127,144,166,180"
10.0,5,Optimal,0.44513602412341957,427.33058315848274,959.9999999999999,5,130,427.3305776903193,0.1054720000247471,2267,0.775,0.9044250718722279,"69,96,114,121,180"
10.0,10,Optimal,0.6324920211588613,607.1923403125068,959.9999999999999,10,191,607.1923296074275,0.10159120801836252,2267,0.775,0.9044250718722279,"23,38,54,69,96,114,119,171,180,198"
10.0,15,Optimal,0.7354544626186599,706.0362841139134,959.9999999999999,15,250,706.0362681979964,0.10895491699920967,2267,0.775,0.9044250718722279,"23,36,38,54,58,69,96,114,119,127,144,160,171,180,198"
10.0,20,Optimal,0.8056287721330819,773.4036212477586,959.9999999999999,20,310,773.4036001036657,0.25673874997301027,2267,0.775,0.9044250718722279,"2,9,23,33,36,38,54,58,69,96,119,133,137,144,159,160,166,171,180,198"
10.0,30,Optimal,0.8796028217063832,844.4187088381277,959.9999999999999,30,376,844.4186774900993,0.11169508303282782,2267,0.775,0.9044250718722279,"2,9,16,23,24,32,38,49,54,58,68,69,76,91,96,115,116,130,133,137,144,150,156,159,160,166,173,178,180,181"
25.0,5,Optimal,0.18597629189047826,178.5372402148591,959.9999999999999,5,40,178.5372351248304,0.05273879098240286,663,0.55,0.6608163216462144,"9,51,69,114,121"
25.0,10,Optimal,0.2815863866785871,270.3229312114436,959.9999999999999,10,82,270.32292102713586,0.04285204201005399,663,0.55,0.6608163216462144,"9,23,48,49,51,69,114,121,137,186"
25.0,15,Optimal,0.3565266868126251,342.26561934012005,959.9999999999999,15,106,342.2656041040966,0.04197483399184421,663,0.55,0.6608163216462144,"9,23,48,49,51,54,69,114,121,133,137,160,177,186,198"
25.0,20,Optimal,0.41886557724564755,402.1109541558216,959.9999999999999,20,123,402.11093388067934,0.04374941601417959,663,0.55,0.6608163216462144,"9,11,23,38,48,49,51,54,69,92,112,114,121,133,137,160,177,186,191,198"
25.0,30,Optimal,0.5100538516508445,489.6516975848106,959.9999999999999,30,169,489.65166719900543,0.04456499998923391,663,0.55,0.6608163216462144,"9,11,15,23,38,48,49,51,54,69,74,83,92,97,112,114,119,121,133,135,137,144,152,160,172,177,180,186,191,198"
