elevation_deg,max_ground_stations,status,achieved_coverage,covered_demand,total_demand,selected_site_count,assignment_count,objective_value,runtime_seconds,visible_arc_count,row_visibility_upper_bound,demand_visibility_upper_bound,selected_sites
0.0,5,Optimal,0.35208333333333336,338.0,960.0,5,338,337.9999932710683,0.25558054097928107,5777,0.9052083333333333,0.9052083333333333,"17,127,166,188,198"
0.0,10,Optimal,0.5677083333333334,545.0,960.0,10,545,544.9999871545396,0.31198916700668633,5777,0.9052083333333333,0.9052083333333333,"12,17,40,41,82,127,166,183,188,198"
0.0,15,Optimal,0.7145833333333333,686.0,960.0,15,686,685.9999813814737,0.39354849996743724,5777,0.9052083333333333,0.9052083333333333,"12,17,40,41,64,79,82,127,148,163,166,177,183,188,198"
0.0,20,Optimal,0.80625,774.0,960.0,20,774,773.9999760217862,2.63599741703365,5777,0.9052083333333333,0.9052083333333333,"5,9,11,12,17,25,41,43,64,72,79,82,90,127,144,149,180,183,188,198"
0.0,30,Optimal,0.8916666666666667,856.0,960.0,30,856,855.9999656874754,2.549008750007488,5777,0.9052083333333333,0.9052083333333333,"8,9,12,17,19,23,25,28,39,40,41,43,48,50,54,64,72,76,77,78,79,82,84,86,90,127,144,164,167,180"
10.0,5,Optimal,0.19166666666666668,184.0,960.0,5,184,183.99999432775977,0.0972874159924686,2267,0.775,0.775,"17,43,69,121,143"
10.0,10,Optimal,0.31666666666666665,304.0,960.0,10,304,303.999988865278,0.10408875002758577,2267,0.775,0.775,"17,28,38,43,69,87,121,127,143,199"
10.0,15,Optimal,0.40729166666666666,391.0,960.0,15,391,390.9999835465866,0.10763491602847353,2267,0.775,0.775,"5,12,17,28,43,69,78,82,87,100,114,121,127,148,199"
10.0,20,Optimal,0.48020833333333335,461.0,960.0,20,461,460.9999782910188,0.28980025002965704,2267,0.775,0.775,"5,12,17,26,28,41,43,69,78,82,87,90,91,100,114,121,127,144,148,199"
10.0,30,Optimal,0.5927083333333333,569.0,960.0,30,569,568.9999679141165,0.39780704100849107,2267,0.775,0.775,"0,5,10,12,17,19,26,28,41,43,63,69,82,87,90,91,96,97,103,114,121,127,130,135,143,144,148,159,179,199"
25.0,5,Optimal,0.07395833333333333,71.0,960.0,5,71,70.99999483429733,0.04313895798986778,663,0.55,0.55,"28,48,101,121,152"
25.0,10,Optimal,0.128125,123.0,960.0,10,123,122.99998970697573,0.04369862499879673,663,0.55,0.55,"16,17,24,28,43,48,101,121,137,152"
25.0,15,Optimal,0.17083333333333334,164.0,960.0,15,164,163.99998461713508,0.044255083019379526,663,0.55,0.55,"3,16,17,24,28,34,43,48,85,101,105,121,125,137,152"
25.0,20,Optimal,0.20833333333333334,200.0,960.0,20,200,199.99997953409076,0.04316524998284876,663,0.55,0.55,"3,16,17,24,28,34,43,48,63,78,82,85,101,105,120,121,125,136,137,152"
25.0,30,Optimal,0.26979166666666665,259.0,960.0,30,259,258.99996939794454,0.04291558399563655,663,0.55,0.55,"3,16,17,24,28,34,41,43,48,52,63,69,74,78,82,85,89,90,101,103,105,114,120,121,125,136,137,144,152,186"
