kuiper_site,portfolio,nearest_argus_km
"Rawlins, WY",Argus uniform 20-site,781.8889440099603
"Rawlins, WY",Argus WorldPop 20-site,7977.5434555985175
"Casa Grande, AZ",Argus uniform 20-site,1680.3382783895215
"Casa Grande, AZ",Argus WorldPop 20-site,8973.550654406556
"Mount Ulla, NC",Argus uniform 20-site,782.2154539560232
"Mount Ulla, NC",Argus WorldPop 20-site,6714.518637577452
"Kapolei, HI",Argus uniform 20-site,2149.601270594469
"Kapolei, HI",Argus WorldPop 20-site,7304.091339293938
"Kahului, HI",Argus uniform 20-site,2250.1632037217787
"Kahului, HI",Argus WorldPop 20-site,7481.4646169074485
"Whiting, ME",Argus uniform 20-site,1052.1733321068687
"Whiting, ME",Argus WorldPop 20-site,5279.213028725829
"Carr, CO",Argus uniform 20-site,977.7321511642676
"Carr, CO",Argus WorldPop 20-site,7911.797925743573
"Owatonna, MN",Argus uniform 20-site,911.7636349329605
"Owatonna, MN",Argus WorldPop 20-site,6999.320421610658
"Raymond, OH",Argus uniform 20-site,1110.0760341072962
"Raymond, OH",Argus WorldPop 20-site,6645.020964180609
