elevation_deg,max_ground_stations,status,achieved_coverage,covered_demand,total_demand,selected_site_count,assignment_count,objective_value,runtime_seconds,visible_arc_count,row_visibility_upper_bound,demand_visibility_upper_bound,selected_sites
0.0,5,Optimal,0.35208333333333336,338.0,960.0,5,338,337.9999932710683,0.25347866700030863,6424,0.909375,0.909375,"17,127,166,188,198"
0.0,10,Optimal,0.5677083333333334,545.0,960.0,10,545,544.9999871420079,0.3300839161965996,6424,0.909375,0.909375,"12,17,40,41,111,127,166,183,188,198"
0.0,15,Optimal,0.7166666666666667,688.0,960.0,15,688,687.9999813533981,0.4248822499066591,6424,0.909375,0.909375,"12,17,40,41,64,82,127,148,163,166,177,183,188,189,198"
0.0,20,Optimal,0.8145833333333333,782.0,960.0,20,782,781.9999759670634,2.038183042081073,6424,0.909375,0.909375,"5,11,12,17,25,29,41,43,55,64,65,79,82,90,127,170,183,188,189,198"
0.0,30,Optimal,0.8979166666666667,862.0,960.0,30,862,861.9999656066575,2.163673040922731,6424,0.909375,0.909375,"8,12,17,25,28,39,40,41,43,48,51,64,66,72,78,79,80,82,84,86,90,103,115,134,149,153,166,167,177,183"
10.0,5,Optimal,0.19166666666666668,184.0,960.0,5,184,183.99999432775977,0.0965812080539763,2500,0.7927083333333333,0.7927083333333333,"17,43,69,121,143"
10.0,10,Optimal,0.31666666666666665,304.0,960.0,10,304,303.999988865278,0.10087566706351936,2500,0.7927083333333333,0.7927083333333333,"17,28,38,43,69,87,121,127,143,199"
10.0,15,Optimal,0.40729166666666666,391.0,960.0,15,391,390.9999835453448,0.11475366703234613,2500,0.7927083333333333,0.7927083333333333,"5,12,17,28,43,69,78,82,87,100,114,121,127,148,199"
10.0,20,Optimal,0.48125,462.0,960.0,20,462,461.99997828154727,0.11284733307547867,2500,0.7927083333333333,0.7927083333333333,"5,12,17,26,28,41,43,66,69,78,82,87,91,96,100,114,121,127,148,199"
10.0,30,Optimal,0.5958333333333333,572.0,960.0,30,572,571.9999678965394,0.1170052089728415,2500,0.7927083333333333,0.7927083333333333,"5,12,17,19,26,28,36,41,43,55,63,66,69,80,82,87,90,91,96,97,103,114,121,127,135,143,148,159,179,199"
25.0,5,Optimal,0.07395833333333333,71.0,960.0,5,71,70.99999483393644,0.04128341702744365,732,0.596875,0.596875,"17,28,48,101,121"
25.0,10,Optimal,0.128125,123.0,960.0,10,123,122.99998970745659,0.039518084144219756,732,0.596875,0.596875,"16,17,24,28,43,48,101,121,137,152"
25.0,15,Optimal,0.17083333333333334,164.0,960.0,15,164,163.99998461553696,0.03981441608630121,732,0.596875,0.596875,"3,16,17,24,28,43,48,78,85,101,105,121,125,137,152"
25.0,20,Optimal,0.209375,201.0,960.0,20,201,200.99997953295156,0.040179874980822206,732,0.596875,0.596875,"3,16,17,24,28,34,43,48,63,78,85,89,101,105,121,125,132,136,137,152"
25.0,30,Optimal,0.27291666666666664,262.0,960.0,30,262,261.99996939659763,0.041335833026096225,732,0.596875,0.596875,"3,16,17,24,28,34,41,43,48,52,63,65,69,74,78,82,85,89,101,103,105,114,120,121,125,132,136,137,152,186"
