elevation_deg,max_ground_stations,status,achieved_coverage,covered_demand,total_demand,selected_site_count,assignment_count,objective_value,runtime_seconds,visible_arc_count,row_visibility_upper_bound,demand_visibility_upper_bound,selected_sites
0.0,5,Optimal,0.6773951199150771,650.2993151184739,959.9999999999999,5,178,650.2993091342254,0.2528290420304984,6424,0.909375,0.9993004996681638,"9,112,128,133,134"
0.0,10,Optimal,0.9124794876274701,875.9803081223712,959.9999999999999,10,351,875.9802961889468,0.25239429203793406,6424,0.909375,0.9993004996681638,"10,49,51,54,96,97,112,128,186,194"
0.0,15,Optimal,0.9823474776543595,943.053578548185,959.9999999999999,15,498,943.0535609756444,0.36187199992127717,6424,0.909375,0.9993004996681638,"10,36,38,51,69,72,86,91,96,128,149,166,181,194,198"
0.0,20,Optimal,0.996812960183973,956.940441776614,959.9999999999999,20,625,956.9404185490074,0.430097125004977,6424,0.909375,0.9993004996681638,"23,25,36,43,51,66,69,72,76,86,90,91,111,125,172,177,180,181,183,198"
0.0,30,Optimal,0.9993000587487136,959.3280563987649,959.9999999999999,30,849,959.3280220505685,2.569390916964039,6424,0.909375,0.9993004996681638,"8,11,12,17,19,25,39,40,41,43,48,66,72,78,79,80,82,90,106,122,126,127,134,137,138,148,153,157,166,177"
10.0,5,Optimal,0.4889797426865296,469.42055297906836,959.9999999999999,5,130,469.42054750530957,0.10081141698174179,2500,0.7927083333333333,0.9933148248156789,"69,96,114,121,175"
10.0,10,Optimal,0.6808656009548766,653.6309769166814,959.9999999999999,10,177,653.6309662610385,0.30857062502764165,2500,0.7927083333333333,0.9933148248156789,"54,69,80,96,114,119,128,171,194,198"
10.0,15,Optimal,0.7912191097001332,759.5703453121278,959.9999999999999,15,257,759.5703293607235,0.37232454190962017,2500,0.7927083333333333,0.9933148248156789,"10,23,36,38,69,92,96,114,119,127,128,171,172,175,198"
10.0,20,Optimal,0.8660465175280202,831.4046568268993,959.9999999999999,20,314,831.4046356714682,0.28387774992734194,2500,0.7927083333333333,0.9933148248156789,"23,36,38,58,60,65,69,80,81,92,114,119,127,133,144,166,171,172,180,198"
10.0,30,Optimal,0.9594687623174114,921.0900118247148,959.9999999999999,30,383,921.0899804376661,0.29216808383353055,2500,0.7927083333333333,0.9933148248156789,"20,23,24,38,49,58,60,65,66,69,80,81,88,91,92,108,114,127,130,133,150,158,159,160,166,172,173,178,180,181"
25.0,5,Optimal,0.22120946233508304,212.3610838416797,959.9999999999999,5,27,212.36107877891828,0.039767458103597164,732,0.596875,0.8874127644574202,"9,65,69,110,114"
25.0,10,Optimal,0.345891500095464,332.0558400916454,959.9999999999999,10,62,332.0558299524298,0.04044441715814173,732,0.596875,0.8874127644574202,"9,47,51,65,69,114,121,132,134,175"
25.0,15,Optimal,0.4415015948835728,423.8415310882299,959.9999999999999,15,104,423.8415158547351,0.0399555831681937,732,0.596875,0.8874127644574202,"9,23,47,48,49,51,65,69,114,121,132,134,137,175,186"
25.0,20,Optimal,0.5171989378599149,496.51098034551825,959.9999999999999,20,126,496.5109600664297,0.04176741698756814,732,0.596875,0.8874127644574202,"9,23,47,48,49,51,65,69,114,121,128,132,133,134,137,160,175,177,186,198"
25.0,30,Optimal,0.633631718122237,608.2864493973474,959.9999999999999,30,165,608.2864190278162,0.040741041069850326,732,0.596875,0.8874127644574202,"9,11,23,38,47,48,49,51,54,65,69,83,92,110,112,114,121,128,132,133,134,137,152,160,175,177,180,186,191,198"
