starlink_gateway,latitude_deg,longitude_deg,portfolio,nearest_argus_km
"Aerzen, Germany",52.0489,9.2683,Uniform baseline,1807.621277240214
"Aerzen, Germany",52.0489,9.2683,WorldPop baseline,586.4913988119386
"Aerzen, Germany",52.0489,9.2683,Uniform + geopolitical constraint,1807.621277240214
"Aerzen, Germany",52.0489,9.2683,WorldPop + geopolitical constraint,586.4913988119386
"Akita, Japan",39.72,140.1024,Uniform baseline,4377.585162310219
"Akita, Japan",39.72,140.1024,WorldPop baseline,1385.7308093044198
"Akita, Japan",39.72,140.1024,Uniform + geopolitical constraint,4689.3700152218225
"Akita, Japan",39.72,140.1024,WorldPop + geopolitical constraint,351.50866766665484
"Akron, OH",41.0575,-81.5199,Uniform baseline,1000.0596139264318
"Akron, OH",41.0575,-81.5199,WorldPop baseline,6467.299596163452
"Akron, OH",41.0575,-81.5199,Uniform + geopolitical constraint,1639.4883751920324
"Akron, OH",41.0575,-81.5199,WorldPop + geopolitical constraint,558.0483468267327
"Alfouvar de Cima, Portugal",40.5167,-8.25,Uniform baseline,495.1235525987807
"Alfouvar de Cima, Portugal",40.5167,-8.25,WorldPop baseline,624.2689633573527
"Alfouvar de Cima, Portugal",40.5167,-8.25,Uniform + geopolitical constraint,495.1235525987807
"Alfouvar de Cima, Portugal",40.5167,-8.25,WorldPop + geopolitical constraint,624.2689633573527
"Anchorage, AK",61.2181,-149.9003,Uniform baseline,1673.6242266597944
"Anchorage, AK",61.2181,-149.9003,WorldPop baseline,6519.2643110337285
"Anchorage, AK",61.2181,-149.9003,Uniform + geopolitical constraint,1673.6242266597944
"Anchorage, AK",61.2181,-149.9003,WorldPop + geopolitical constraint,2791.204168215742
"Angeles, Philippines",15.145,120.5887,Uniform baseline,3991.0454722683025
"Angeles, Philippines",15.145,120.5887,WorldPop baseline,1930.379429537807
"Angeles, Philippines",15.145,120.5887,Uniform + geopolitical constraint,3991.0454722683025
"Angeles, Philippines",15.145,120.5887,WorldPop + geopolitical constraint,377.5529703431552
"Ashburn, VA",39.0157,-77.4649,Uniform baseline,587.027060885951
"Ashburn, VA",39.0157,-77.4649,WorldPop baseline,6305.480382743582
"Ashburn, VA",39.0157,-77.4649,Uniform + geopolitical constraint,1897.8201399496068
"Ashburn, VA",39.0157,-77.4649,WorldPop + geopolitical constraint,567.4658557726566
"Awarua, NZ",-46.5294,168.3781,Uniform baseline,1309.715854995248
"Awarua, NZ",-46.5294,168.3781,WorldPop baseline,9625.81315442957
"Awarua, NZ",-46.5294,168.3781,Uniform + geopolitical constraint,1309.715854995248
"Awarua, NZ",-46.5294,168.3781,WorldPop + geopolitical constraint,8248.267159761772
"Ballinspittle, Ireland",51.6508,-8.5808,Uniform baseline,887.940570725158
"Ballinspittle, Ireland",51.6508,-8.5808,WorldPop baseline,987.8776310230152
"Ballinspittle, Ireland",51.6508,-8.5808,Uniform + geopolitical constraint,887.940570725158
"Ballinspittle, Ireland",51.6508,-8.5808,WorldPop + geopolitical constraint,987.8776310230152
"Bandon, OR",43.2476,-124.3828,Uniform baseline,1009.9405119631788
"Bandon, OR",43.2476,-124.3828,WorldPop baseline,8682.149082936385
"Bandon, OR",43.2476,-124.3828,Uniform + geopolitical constraint,1009.9405119631788
"Bandon, OR",43.2476,-124.3828,WorldPop + geopolitical constraint,1096.5861541197253
"Banning, CA",33.9191,-116.8494,Uniform baseline,1616.953950549767
"Banning, CA",33.9191,-116.8494,WorldPop baseline,9177.207848679676
"Banning, CA",33.9191,-116.8494,Uniform + geopolitical constraint,1616.953950549767
"Banning, CA",33.9191,-116.8494,WorldPop + geopolitical constraint,1616.953950549767
"Bastrop, TX",30.1579,-97.4069,Uniform baseline,2341.139874428596
"Bastrop, TX",30.1579,-97.4069,WorldPop baseline,8338.955432704763
"Bastrop, TX",30.1579,-97.4069,Uniform + geopolitical constraint,2341.139874428596
"Bastrop, TX",30.1579,-97.4069,WorldPop + geopolitical constraint,1101.8088980389225
"Baxley, GA",31.7791,-82.3485,Uniform baseline,1063.470451946387
"Baxley, GA",31.7791,-82.3485,WorldPop baseline,7044.848610049969
"Baxley, GA",31.7791,-82.3485,Uniform + geopolitical constraint,2506.841810764606
"Baxley, GA",31.7791,-82.3485,WorldPop + geopolitical constraint,1467.4954932931234
"Beekmantown, NY",44.7629,-73.5754,Uniform baseline,983.428483559373
"Beekmantown, NY",44.7629,-73.5754,WorldPop baseline,5702.004034303572
"Beekmantown, NY",44.7629,-73.5754,Uniform + geopolitical constraint,1328.5615720156516
"Beekmantown, NY",44.7629,-73.5754,WorldPop + geopolitical constraint,210.5207391860387
"Bellingham, WA",48.7519,-122.4787,Uniform baseline,532.406819047588
"Bellingham, WA",48.7519,-122.4787,WorldPop baseline,8090.008859442838
"Bellingham, WA",48.7519,-122.4787,Uniform + geopolitical constraint,532.406819047588
"Bellingham, WA",48.7519,-122.4787,WorldPop + geopolitical constraint,777.8343651319127
"Big Ivy, TN",35.1599,-88.061,Uniform baseline,1453.8351730384734
"Big Ivy, TN",35.1599,-88.061,WorldPop baseline,7328.140496458426
"Big Ivy, TN",35.1599,-88.061,Uniform + geopolitical constraint,1975.8597779034635
"Big Ivy, TN",35.1599,-88.061,WorldPop + geopolitical constraint,882.0418331724449
"Bluffdale, UT",40.4798,-111.9042,Uniform baseline,836.2427197338704
"Bluffdale, UT",40.4798,-111.9042,WorldPop baseline,8331.269978422932
"Bluffdale, UT",40.4798,-111.9042,Uniform + geopolitical constraint,836.2427197338704
"Bluffdale, UT",40.4798,-111.9042,WorldPop + geopolitical constraint,836.2427197338704
"Boca Chica, TX",26.0621,-97.1668,Uniform baseline,2629.8526863159286
"Boca Chica, TX",26.0621,-97.1668,WorldPop baseline,8606.818847905763
"Boca Chica, TX",26.0621,-97.1668,Uniform + geopolitical constraint,2760.9651591016072
"Boca Chica, TX",26.0621,-97.1668,WorldPop + geopolitical constraint,684.5529650398731
"Boise, ID",43.5811,-116.29,Uniform baseline,593.1410233087164
"Boise, ID",43.5811,-116.29,WorldPop baseline,8280.115507331442
"Boise, ID",43.5811,-116.29,Uniform + geopolitical constraint,593.1410233087164
"Boise, ID",43.5811,-116.29,WorldPop + geopolitical constraint,593.1410233087164
"Boorowa, Australia",-34.4392,148.7142,Uniform baseline,1099.8921657610813
"Boorowa, Australia",-34.4392,148.7142,WorldPop baseline,7698.758594845971
"Boorowa, Australia",-34.4392,148.7142,Uniform + geopolitical constraint,854.437956081801
"Boorowa, Australia",-34.4392,148.7142,WorldPop + geopolitical constraint,6187.726911186349
"Brewster, WA",48.0962,-119.7806,Uniform baseline,578.2199178728591
"Brewster, WA",48.0962,-119.7806,WorldPop baseline,8035.497882680775
"Brewster, WA",48.0962,-119.7806,Uniform + geopolitical constraint,578.2199178728591
"Brewster, WA",48.0962,-119.7806,WorldPop + geopolitical constraint,578.2199178728591
"Bridgewater, CT",41.5454,-73.3544,Uniform baseline,627.6743591036574
"Bridgewater, CT",41.5454,-73.3544,WorldPop baseline,5881.351625782761
