place_id,name,adm0name,latitude_deg,longitude_deg,population,rank_max,source
_Tokyo,Tokyo,Japan,35.686963,139.749462,35676000.0,14,natural_earth_populated_places
_New York,New York,United States of America,40.721562,-73.995718,19040000.0,14,natural_earth_populated_places
_Mexico City,Mexico City,Mexico,19.444388,-99.132934,19028000.0,14,natural_earth_populated_places
_Mumbai,Mumbai,India,19.068408,72.875839,18978000.0,14,natural_earth_populated_places
_São Paulo,São Paulo,Brazil,-23.556734,-46.626966,18845000.0,14,natural_earth_populated_places
_Delhi,Delhi,India,28.671939,77.228058,15926000.0,14,natural_earth_populated_places
_Shanghai,Shanghai,China,31.218398,121.434559,14987000.0,14,natural_earth_populated_places
_Kolkata,Kolkata,India,22.569579,88.369126,14787000.0,14,natural_earth_populated_places
_Dhaka,Dhaka,Bangladesh,23.725006,90.406634,12797394.0,14,natural_earth_populated_places
_Buenos Aires,Buenos Aires,Argentina,-34.610715,-58.432513,12795000.0,14,natural_earth_populated_places
_Los Angeles,Los Angeles,United States of America,34.049219,-118.231986,12500000.0,14,natural_earth_populated_places
_Karachi,Karachi,Pakistan,24.871938,66.988063,12130000.0,14,natural_earth_populated_places
_Cairo,Cairo,Egypt,30.051906,31.248022,11893000.0,14,natural_earth_populated_places
_Rio de Janeiro,Rio de Janeiro,Brazil,-22.907308,-43.212117,11748000.0,14,natural_earth_populated_places
_Ōsaka,Ōsaka,Japan,34.691095,135.503754,11294000.0,14,natural_earth_populated_places
_Beijing,Beijing,China,39.90172,116.394201,11106000.0,14,natural_earth_populated_places
_Manila,Manila,Philippines,14.606105,120.980271,11100000.0,14,natural_earth_populated_places
_Moscow,Moscow,Russia,55.75411,37.613577,10452000.0,14,natural_earth_populated_places
_Istanbul,Istanbul,Turkey,41.017602,28.974277,10061000.0,14,natural_earth_populated_places
_Paris,Paris,France,48.858092,2.352992,9904000.0,13,natural_earth_populated_places
_Seoul,Seoul,South Korea,37.568295,126.997785,9796000.0,13,natural_earth_populated_places
_Lagos,Lagos,Nigeria,6.445208,3.389585,9466000.0,13,natural_earth_populated_places
_Jakarta,Jakarta,Indonesia,-6.172472,106.827492,9125000.0,13,natural_earth_populated_places
_Chicago,Chicago,United States of America,41.847961,-87.635237,8990000.0,13,natural_earth_populated_places
_Guangzhou,Guangzhou,China,23.124723,113.261785,8829000.0,13,natural_earth_populated_places
_London,London,United Kingdom,51.501941,-0.118668,8567000.0,13,natural_earth_populated_places
_Lima,Lima,Peru,-12.046067,-77.052008,8012000.0,13,natural_earth_populated_places
_Tehran,Tehran,Iran,35.673889,51.422398,7873000.0,13,natural_earth_populated_places
